word	hanja	syn	def	pos	level 	
어머니			Mom	1	A	
얼굴			Face	1	A	
얼마			How many, how much	1	A	
엄마			Mamma	1	A	
종이			Paper	1	A	
전화번호	電話番號		Telephone number	1	A	
점심시간	點心時間		Lunchtime	1	A	
젓가락			A pair of chopsticks	1	A	
저녁			Evening	1	A	
잠깐			For a little while	1	A	
재미			amusement,enjoyment	1	A	
자장면		&중Zhajiangmian	Black chinese noodles	1	A	
잔	盞		A cup, wine glass	1	A	
잠			Sleep	1	A	
층	層		floor,grade,class	1	A	
치마			A skirt	1	A	
카드		card	Card	1	A	
카메라		camera	Camera	1	A	
칼		베는 도구	A knife	1	A	
초콜릿		chocolate	Chocolate	1	A	
춤			Dance	1	A	
처음			First	1	A	
초등학교	初等學校		Elementary school	1	A	
책	冊		A book	1	A	
집			House	1	A	
찌개			A pot stew	1	A	
차	車		A vehicle, train/auto car	1	A	
차	茶		Tea	1	A	
지우개			An eraser	1	A	
지난달			Last month	1	A	
주스		juice	Juice	1	A	
핸드폰		hand phone	Cell phone	1	A	
햄버거		hamburger	Hamburger	1	A	
팀		team	Team	1	A	
파티		party	Party	1	A	
택시		taxi	Taxi	1	A	
테니스		tennis	Tennis	1	A	
테이블		table	Table	1	A	
텔레비전		television	Television	1	A	
커피		coffee	Coffee	1	A	
코			The nose	1	A	
만나다			Meet	2	A	
콜라		cola	Cola	1	A	
크리스마스		Christmas	Christmas	1	A	
올해			This year	1	A	
옷			Clothes	1	A	
요즈음			Recently, nowadays	1	A	
요즘			Recently, nowadays	1	A	
일			Work	1	A	
이때			At this time, moment	1	A	
이름			Name	1	A	
이제			Now	1	A	
허리			The waist, the small of the back	1	A	
형	兄		An elder brother	1	A	
입			Mouth	1	A	
해			A year	1	A	
걷다		느릿느릿 ~	To walk	2	A	
걸다		옷을 ~	Hang up or  suspend	2	A	
걸어가다			To go on foot or  walk	2	A	
걸어오다		집까지 ~	Come on foot or  walk	2	A	
가르치다			To teach	2	A	
가져오다			To bring or  get	2	A	
피우다			To make, build, kindle	2	A	
하다			To do	2	A	
만들다			To make	2	A	
팔다			To sell	2	A	
있다			To be	1	A	
있다			To be	2	A	
후	後		After	1	A	
